Modelo,Categoría,Frecuencia,RAM soportada / integrada,Almacenamiento,I/O Digital / PWM / Analógico,Protocolos disponibles
STM32F411 Nucleo-64,Embebido,100 MHz (Cortex‑M4F),SRAM 128 KB,Flash 512 KB,"UART, SPI, I2C, USB FS","51 GPIO, ADC, PWM, DAC (según variante)"
STM32H743 Nucleo-144,Embebido,400 MHz (Cortex‑M7),SRAM ~1 MB,Flash 2 MB,"UART, SPI, I2C, USB HS/FS, Ethernet MAC, CAN FD","100+ GPIO, ADC multicanal, PWM, DAC"
Microchip PIC16F877A,Embebido,20 MHz (instr 5 MHz),368 bytes RAM,Flash 14 KB + EEPROM 256 B,"USART, SPI, I2C","33 I/O, 8 canales ADC, PWM"
Microchip PIC18F4550,Embebido,48 MHz (PLL),2 KB RAM,Flash 32 KB + EEPROM 256 B,"USB FS, USART, SPI, I2C","35 I/O, 13 canales ADC, PWM"
Microchip PIC32MX370F512L,Embebido,80 MHz (MIPS),128 KB RAM,Flash 512 KB,"USB, Ethernet MAC, UART, SPI, I2C, CAN","85 I/O, ADC, PWM"
TI MSP430G2553 LaunchPad,Embebido,16 MHz,512 B RAM,Flash 16 KB,"UART, SPI, I2C","24 I/O, 8–10 canales ADC, PWM"
BeagleBone Black,Embebido,1 GHz (Cortex‑A8),512 MB DDR3,eMMC 4 GB + microSD,"Ethernet, USB, UART, SPI, I2C, CAN, PRU‑ICSS","69 GPIO, 7×ADC, PWM"
Particle Photon,Embebido,120 MHz (Cortex‑M3),128 KB RAM,Flash 1 MB,"Wi‑Fi, TCP/IP, MQTT/HTTP por soft, UART, SPI, I2C","18 GPIO, ADC, PWM"
Siemens S7‑1500,PLC,Ciclo ns‑µs,Work/Load memory según CPU,SIMATIC card hasta 32 GB,"PROFINET, PROFIBUS, OPC UA, Modbus TCP/RTU (gateway), S7",E/S según módulos; analógico/PWM por módulos
Siemens S7‑1200,PLC,Ciclo ms,Work/Load memory según CPU,SIMATIC card,"PROFINET, Modbus TCP/RTU (gateway), S7",E/S a bordo en algunas CPU + módulos
Siemens S7‑300 (legacy),PLC,Ciclo ms,Según CPU,MMC,"PROFIBUS, PROFINET (CP), Modbus (CP/gateway), S7",Módulos E/S; analógico por módulos
Allen‑Bradley MicroLogix 1400,PLC,Ciclo ms,—,SD (registro),"EtherNet/IP, Modbus TCP/RTU (pasarela)",I/O a bordo + módulos; analógico opcional
Allen‑Bradley CompactLogix 5370,PLC,Ciclo ms,—,SD,"EtherNet/IP, OPC (gateway), Modbus (gateway)",E/S por módulos
Allen‑Bradley CompactLogix 5380,PLC,Ciclo µs‑ms,—,SD,"EtherNet/IP, OPC (gateway), Modbus (gateway)",E/S por módulos
Allen‑Bradley ControlLogix 5580,PLC,Ciclo µs‑ms,—,SD,"EtherNet/IP, OPC (gateway), Modbus (gateway)",E/S por módulos
Omron CP1H,PLC,Ciclo ms,—,Memory card,"Ethernet (opcional), Modbus, FINS",I/O a bordo + módulos; analógico opcional
Omron CJ2M,PLC,Ciclo ms,—,Memory card,"EtherNet/IP, Modbus, FINS",E/S por módulos
Omron NX1P2,PLC,Ciclo ms,—,Memory card,"EtherNet/IP, OPC, Modbus",E/S por módulos/terminales
Omron NJ501 (Sysmac),PLC,Ciclo µs‑ms,—,Memory card,"EtherCAT, EtherNet/IP, OPC UA",E/S distribuidas EtherCAT
Schneider Modicon M221,PLC,Ciclo ms,—,SD,"Modbus TCP/RTU, Ethernet/IP (opcional)",I/O a bordo + módulos
Schneider Modicon M241,PLC,Ciclo ms,—,SD,"Modbus TCP/RTU, Ethernet/IP (opcional), OPC (gateway)",I/O a bordo + módulos
Schneider Modicon M340,PLC,Ciclo ms,—,Memory card,"Modbus TCP/RTU, Ethernet/IP (opcional)",E/S por módulos
Schneider Modicon M580,PLC,Ciclo µs‑ms,—,Memory card,"Modbus TCP/RTU, Ethernet/IP, OPC UA",E/S por módulos
Mitsubishi FX3U (legacy),PLC,Ciclo ms,—,Memory card,"CC‑Link, Modbus (gateway), Ethernet (módulo)",I/O a bordo + módulos
Mitsubishi FX5U,PLC,Ciclo ms,—,Memory card,"Ethernet, Modbus, CC‑Link IE Field",I/O a bordo + módulos
Mitsubishi iQ‑R,PLC,Ciclo µs‑ms,—,Memory card,"Ethernet, CC‑Link IE, OPC UA, Modbus (gateway)",E/S por módulos
Beckhoff CX9020,PLC,Ciclo µs‑ms,512 MB RAM,Flash 4 GB,"EtherCAT, Modbus, OPC UA, PROFINET (opc)",E/S por terminales EtherCAT
Beckhoff CX5130,PLC,Ciclo µs‑ms,4 GB RAM,Flash 4–8 GB,"EtherCAT, PROFINET, OPC UA, Modbus",E/S por terminales EtherCAT
WAGO PFC200,PLC,Ciclo ms,256–512 MB RAM,Flash 256 MB + SD,"Modbus TCP/RTU, EtherNet/IP, OPC UA",E/S por módulos WAGO
Delta DVP Series,PLC,Ciclo ms,—,—,"Modbus RTU/TCP, Ethernet (opc)",I/O a bordo + módulos
